Gene ID	Gene name	Tissue	TPM	pTPM	nTPM
ENSG00000039068	CDH1	kidney	10.9	13.6	13.7
ENSG00000039068	CDH1	liver	8.4	9.7	20.6
ENSG00000039068	CDH1	lung	14.5	18.4	12.9
ENSG00000039068	CDH1	salivary gland	42.5	51.0	47.7
ENSG00000039068	CDH1	thyroid gland	50.9	66.9	42.8
ENSG00000124215	CDH26	kidney	0.4	0.5	0.5
ENSG00000124215	CDH26	liver	0.1	0.1	0.3
ENSG00000124215	CDH26	lung	2.1	2.7	1.8
ENSG00000124215	CDH26	salivary gland	1.8	2.2	2
ENSG00000124215	CDH26	thyroid gland	0.7	1	0.6
ENSG00000150275	PCDH15	kidney	0.1	0.2	0.3
ENSG00000150275	PCDH15	liver	0	0	0
ENSG00000150275	PCDH15	lung	2.2	2.9	2
ENSG00000150275	PCDH15	salivary gland	0	0	0
ENSG00000150275	PCDH15	thyroid gland	0	0	0
ENSG00000107736	CDH23	kidney	0.6	0.7	0.9
ENSG00000107736	CDH23	liver	5.4	6.3	14.4
ENSG00000107736	CDH23	lung	8.6	11.1	7.8
ENSG00000107736	CDH23	salivary gland	1.1	1.3	1.2
ENSG00000107736	CDH23	thyroid gland	2.1	2.8	1.8
ENSG00000101542	CDH20	kidney	0	0	0.1
ENSG00000101542	CDH20	liver	0	0	0
ENSG00000101542	CDH20	lung	0.1	0.1	0
ENSG00000101542	CDH20	salivary gland	0.3	0.4	0.4
ENSG00000101542	CDH20	thyroid gland	0.4	0.5	0.3
ENSG00000139880	CDH24	kidney	2.5	3.2	2.9
ENSG00000139880	CDH24	liver	0.2	0.2	0.5
ENSG00000139880	CDH24	lung	3.8	4.9	3.3
ENSG00000139880	CDH24	salivary gland	2.9	3.5	3.1
ENSG00000139880	CDH24	thyroid gland	5.4	7.2	4.6
ENSG00000149654	CDH22	kidney	0.1	0.1	0.2
ENSG00000149654	CDH22	liver	0	0	0
ENSG00000149654	CDH22	lung	0	0.1	0
ENSG00000149654	CDH22	salivary gland	0.2	0.2	0.2
ENSG00000149654	CDH22	thyroid gland	0.2	0.2	0.1
ENSG00000170558	CDH2	kidney	4	4.9	6.1
ENSG00000170558	CDH2	liver	8.6	10	21.7
ENSG00000170558	CDH2	lung	0.7	0.9	0.6
ENSG00000170558	CDH2	salivary gland	0.4	0.4	0.4
ENSG00000170558	CDH2	thyroid gland	1.2	1.5	1
ENSG00000140937	CDH11	kidney	5.7	7.3	6.4
ENSG00000140937	CDH11	liver	0.4	0.4	0.9
ENSG00000140937	CDH11	lung	46.9	60.3	42.1
ENSG00000140937	CDH11	salivary gland	12	14.5	12.7
ENSG00000140937	CDH11	thyroid gland	9.7	12.8	8.1
ENSG00000156453	PCDH1	kidney	17	21.3	21.3
ENSG00000156453	PCDH1	liver	7.9	9.1	19.3
ENSG00000156453	PCDH1	lung	30.6	39.3	27.7
ENSG00000156453	PCDH1	salivary gland	25.8	31	28.8
ENSG00000156453	PCDH1	thyroid gland	14.7	19.3	12.6
ENSG00000184226	PCDH9	kidney	0.6	0.7	0.7
ENSG00000184226	PCDH9	liver	0.3	0.4	0.9
ENSG00000184226	PCDH9	lung	0.6	0.7	0.5
ENSG00000184226	PCDH9	salivary gland	0.2	0.2	0.2
ENSG00000184226	PCDH9	thyroid gland	0.9	1.2	0.8
ENSG00000136099	PCDH8	kidney	0	0	0
ENSG00000136099	PCDH8	liver	0	0	0
ENSG00000136099	PCDH8	lung	0	0	0
ENSG00000136099	PCDH8	salivary gland	0.1	0.1	0.1
ENSG00000136099	PCDH8	thyroid gland	0.1	0.1	0
ENSG00000165194	PCDH19	kidney	0.1	0.2	0.2
ENSG00000165194	PCDH19	liver	0	0	0
ENSG00000165194	PCDH19	lung	0.1	0.1	0.1
ENSG00000165194	PCDH19	salivary gland	0.6	0.7	0.6
ENSG00000165194	PCDH19	thyroid gland	0.2	0.3	0.2
ENSG00000169851	PCDH7	kidney	0.5	0.7	0.8
ENSG00000169851	PCDH7	liver	0.1	0.1	0.3
ENSG00000169851	PCDH7	lung	2.1	2.8	1.9
ENSG00000169851	PCDH7	salivary gland	0.7	0.9	0.8
ENSG00000169851	PCDH7	thyroid gland	2.5	3.3	2.1
ENSG00000138650	PCDH10	kidney	1	1.2	1.3
ENSG00000138650	PCDH10	liver	0	0	0
ENSG00000138650	PCDH10	lung	0.4	0.5	0.3
ENSG00000138650	PCDH10	salivary gland	0	0	0
ENSG00000138650	PCDH10	thyroid gland	0.5	0.7	0.5
ENSG00000189184	PCDH18	kidney	4.7	5.9	5.1
ENSG00000189184	PCDH18	liver	0.5	0.6	1.5
ENSG00000189184	PCDH18	lung	5.3	6.9	4.8
ENSG00000189184	PCDH18	salivary gland	4.8	5.8	5.3
ENSG00000189184	PCDH18	thyroid gland	6.1	8.1	5.1
ENSG00000129910	CDH15	kidney	0	0.1	0.1
ENSG00000129910	CDH15	liver	0.5	0.6	1.3
ENSG00000129910	CDH15	lung	0.4	0.5	0.4
ENSG00000129910	CDH15	salivary gland	0.7	0.9	0.9
ENSG00000129910	CDH15	thyroid gland	0	0	0
