Gene ID	Gene name	Tissue	TPM	pTPM	nTPM
ENSG00000039068	CDH1	breast	15.7	19.8	13.9
ENSG00000039068	CDH1	cervix	17.8	21.7	20.2
ENSG00000039068	CDH1	colon	36.9	44.0	48.0
ENSG00000039068	CDH1	endometrium	1.1	1.4	0.8
ENSG00000039068	CDH1	esophagus	60.8	73.4	76.9
ENSG00000039068	CDH1	fallopian tube	6.3	8.3	5.0
ENSG00000039068	CDH1	heart muscle	0.0	0.0	0.0
ENSG00000039068	CDH1	ovary	1.3	1.7	1.3
ENSG00000039068	CDH1	pancreas	23.0	26.0	59.5
ENSG00000039068	CDH1	prostate	20.5	26.5	19.5
ENSG00000039068	CDH1	skeletal muscle	0.0	0.0	0.0
ENSG00000039068	CDH1	skin	50.1	61.0	54.9
ENSG00000039068	CDH1	small intestine	34.0	41.1	41.1
ENSG00000039068	CDH1	spleen	3.9	5.1	4.1
ENSG00000039068	CDH1	stomach	19.7	23.6	32.6
ENSG00000039068	CDH1	testis	0.3	0.4	0.2
ENSG00000039068	CDH1	urinary bladder	18.5	23.2	15.2
ENSG00000039068	CDH1	vagina	36.5	45.1	38.1
ENSG00000124215	CDH26	breast	0.8	1	0.8
ENSG00000124215	CDH26	cervix	2.2	2.8	1.7
ENSG00000124215	CDH26	colon	0.7	0.8	0.7
ENSG00000124215	CDH26	endometrium	0.7	0.9	0.6
ENSG00000124215	CDH26	esophagus	2.6	3.1	3.4
ENSG00000124215	CDH26	fallopian tube	1.3	1.8	1.1
ENSG00000124215	CDH26	heart muscle	0.3	0.4	0.7
ENSG00000124215	CDH26	ovary	0.3	0.4	0.3
ENSG00000124215	CDH26	pancreas	0.1	0.1	0.3
ENSG00000124215	CDH26	prostate	6.5	8.4	6.1
ENSG00000124215	CDH26	skeletal muscle	0.3	0.3	0.6
ENSG00000124215	CDH26	skin	0.5	0.6	0.6
ENSG00000124215	CDH26	small intestine	0.7	1	0.8
ENSG00000124215	CDH26	spleen	0.7	1	0.8
ENSG00000124215	CDH26	stomach	0.3	0.4	0.5
ENSG00000124215	CDH26	testis	1	1.3	0.7
ENSG00000124215	CDH26	urinary bladder	3	3.7	2.5
ENSG00000124215	CDH26	vagina	1.3	1.7	1.3
ENSG00000150275	PCDH15	breast	0	0	0
ENSG00000150275	PCDH15	cervix	0.2	0.2	0.1
ENSG00000150275	PCDH15	colon	0.1	0.1	0.1
ENSG00000150275	PCDH15	endometrium	0	0	0
