Gene ID	Gene name	Tissue	TPM	pTPM	nTPM
ENSG00000039068	CDH1	amygdala	0.4	0.5	0.7
ENSG00000039068	CDH1	caudate	0.5	0.6	0.8
ENSG00000039068	CDH1	cerebellum	0.1	0.1	0.1
ENSG00000039068	CDH1	cerebral cortex	0.4	0.5	0.5
ENSG00000039068	CDH1	hippocampus	0.4	0.5	0.8
ENSG00000039068	CDH1	hypothalamus	0.2	0.3	0.3
ENSG00000039068	CDH1	nucleus accumbens	0.3	0.4	0.4
ENSG00000039068	CDH1	pituitary gland	8.7	11.1	8.0
ENSG00000039068	CDH1	putamen	0.5	0.6	0.9
ENSG00000039068	CDH1	retina	0.1	0.2	0.1
ENSG00000039068	CDH1	spinal cord	0.3	0.4	0.5
ENSG00000039068	CDH1	substantia nigra	0.1	0.2	0.3
ENSG00000124215	CDH26	amygdala	0.4	0.5	0.8
ENSG00000124215	CDH26	caudate	0.6	0.8	1
ENSG00000124215	CDH26	cerebellum	1.8	2.5	1.7
ENSG00000124215	CDH26	cerebral cortex	0.7	0.8	0.9
ENSG00000124215	CDH26	hippocampus	0.6	0.7	1
ENSG00000124215	CDH26	hypothalamus	0.6	0.8	0.9
ENSG00000124215	CDH26	nucleus accumbens	0.6	0.7	0.9
ENSG00000124215	CDH26	pituitary gland	1.8	2.4	1.7
ENSG00000124215	CDH26	putamen	0.6	0.7	1
ENSG00000124215	CDH26	retina	0.5	0.8	0.4
ENSG00000124215	CDH26	spinal cord	0.9	1.2	1.3
ENSG00000124215	CDH26	substantia nigra	0.7	0.8	1.1
ENSG00000150275	PCDH15	amygdala	3.4	4.3	7
ENSG00000150275	PCDH15	caudate	1.7	2.1	3.1
ENSG00000150275	PCDH15	cerebellum	0.9	1.2	0.9
ENSG00000150275	PCDH15	cerebral cortex	2.6	3.2	4.6
ENSG00000150275	PCDH15	hippocampus	3	3.8	6.1
ENSG00000150275	PCDH15	hypothalamus	3.4	4.3	5.3
ENSG00000150275	PCDH15	nucleus accumbens	2	2.5	3.6
ENSG00000150275	PCDH15	pituitary gland	5.4	7.1	4.7
ENSG00000150275	PCDH15	putamen	1.4	1.7	3
ENSG00000150275	PCDH15	retina	86.8	118.6	61.7
ENSG00000150275	PCDH15	spinal cord	1.9	2.5	2.9
ENSG00000150275	PCDH15	substantia nigra	2.9	3.6	5.3
ENSG00000107736	CDH23	amygdala	2.5	3.2	4.7
ENSG00000107736	CDH23	caudate	2.3	2.8	3.7
ENSG00000107736	CDH23	cerebellum	18.7	25.1	17.8
ENSG00000107736	CDH23	cerebral cortex	2.3	2.8	3.2
ENSG00000107736	CDH23	hippocampus	1.9	2.4	3.5
